ano;mes;secretaria;regime_subgrupo;folha_total;num_registros;num_matriculas;percentual_na_secretaria
2022;2;Secretaria de Gabinete Central;funcao_confianca;238028.94;32;20;41.41
2022;2;Secretaria de Gabinete Central;comissionados;84857.78;8;6;14.76
2022;2;Secretaria de Gabinete Central;flexiveis;3021.92;3;3;0.53
2022;2;Secretaria de Governo;funcao_confianca;283769.02;29;24;41.14
2022;2;Secretaria de Governo;comissionados;225183.72999999998;20;18;32.65
2022;2;Secretaria de Governo;efetivos;170219.36;14;11;24.68
2022;2;Secretaria de Governo;flexiveis;10588.48;12;11;1.54
2022;2;Secretaria de Mobilidade;efetivos;76239.44;7;7;49.8
2022;2;Secretaria de Mobilidade;funcao_confianca;65782.58;6;5;42.97
2022;2;Secretaria de Mobilidade;comissionados;11071.8;1;1;7.23
2022;2;Secretaria de Recursos Humanos;efetivos;322101.67;65;56;61.0
2022;2;Secretaria de Recursos Humanos;funcao_confianca;184241.55;25;23;34.89
2022;2;Secretaria de Recursos Humanos;comissionados;17617.8;1;1;3.34
2022;2;Secretaria de Recursos Humanos;flexiveis;4054.3999999999996;4;3;0.77
2022;2;Secretaria de Relações Institucionais e Metropolitanas;comissionados;61905.0;5;5;44.94
2022;2;Secretaria de Relações Institucionais e Metropolitanas;efetivos;48910.99;6;5;35.51
2022;2;Secretaria de Relações Institucionais e Metropolitanas;funcao_confianca;26939.57;4;3;19.56
2022;2;Secretaria de Segurança Urbana;efetivos;2949675.78;418;369;92.7
2022;2;Secretaria de Segurança Urbana;funcao_confianca;214752.28;16;14;6.75
2022;2;Secretaria de Segurança Urbana;comissionados;17617.8;1;1;0.55
2022;2;Secretaria de Serviços Públicos e Obras;efetivos;645843.11;127;114;67.42
2022;2;Secretaria de Serviços Públicos e Obras;funcao_confianca;216522.62;32;23;22.6
2022;2;Secretaria de Serviços Públicos e Obras;comissionados;95612.48;9;7;9.98
2022;2;Secretaria de Serviços Públicos e Obras;flexiveis;0.0;1;1;0.0
2022;2;Secretaria de Urbanismo e Licenciamento;efetivos;748151.08;132;113;74.69
2022;2;Secretaria de Urbanismo e Licenciamento;funcao_confianca;175944.45;23;21;17.56
