ano;mes;regime;folha_total;num_registros;num_matriculas;percentual
2022;6;PROF/HOR/ESTAT - LEI 8336/2007;14112620.91;1962;1942;18.85
2022;6;ESTATUTARIO                  E;8265088.64;1006;910;11.04
2022;6;ESTATUTARIO/HORISTAS         E;6804200.68;568;486;9.09
2022;6;ESTAT. HORISTAS/NOVOS 8336/07;6776685.42;852;739;9.05
2022;6;COMIS.ESTAT/MENSAL NOVOS (INC);4719276.29;520;460;6.3
2022;6;PROF/HORISTAS/ESTATUTARIOS   E;4676624.06;427;425;6.25
2022;6;MED.PLANT.ESTAT -LEI 8336/2007;2192389.66;120;104;2.93
2022;6;PROF/EVENT/SUBST/AUTONOMOS   A;2026671.22;1754;1631;2.71
2022;6;MEDICOS PLANTONISTAS/ESTATUT.;1277167.83;54;50;1.71
2022;6;C.L.T./TEMP/HORISTA;1181602.8;87;82;1.58
2022;6;ACUMULO DE GRATIF-ESTAT NOVOS;1061038.65;84;77;1.42
2022;6;ESTAGIARIOS;863257.0399999999;829;825;1.15
2022;6;COMISSAO/EXTERNO             S;855472.31;73;69;1.14
2022;6;COMIS ESTAT/MENSAL(INCORPORAN);770740.45;61;59;1.03
2022;6;APOS/PENS-CLT/COMPL.INSS     P;616252.57;179;179;0.82
2022;6;C.L.T.                     C;596351.96;277;251;0.8
2022;6;COMIS.ESTAT/HOR(INCORP)NOVOS;540164.4400000001;17;15;0.72
2022;6;APOS/INAT-CLT/COMPL.INSS     P;536672.83;98;98;0.72
2022;6;ACUMULO DE GRATTIFICACAO-ESTAT;534271.22;30;27;0.71
2022;6;C.L.T./PROF/TMP/HORISTA;507906.69;124;124;0.68
2022;6;AGENTE POLITICO              S;282863.57;17;16;0.38
2022;6;COMIS.ESTAT/HOR(INCORPORANDO);171485.8;5;4;0.23
2022;6;AGENTE HONORIFICO;159145.5;32;31;0.21
2022;6;ACUM FG-ANT.COM.EST.HR.C.ORIG;148358.59;5;4;0.2
2022;6;COMIS ESTAT MENS(CARGO ORIGEM);109574.67;7;6;0.15
2022;6;COMIS. ESTAT. INT. NOVO;58836.44;7;7;0.08
2022;6;AGENTE POLITICO RPPS NOVOS;35235.6;2;2;0.05
2022;6;COMIS ESTAT MENS(ORIGEM) NOVOS;20610.72;2;2;0.03
2022;6;PREFEITO                     S;20554.1;1;1;0.03
2022;6;VICE PREFEITO                S;17617.8;1;1;0.02
2022;7;ESTATUTARIOS MEN/ LEI 8336/07;15008988.6;3610;3314;19.76
2022;7;PROF/HOR/ESTAT - LEI 8336/2007;14303685.21;1982;1958;18.83
2022;7;ESTATUTARIO                  E;7795577.24;1008;903;10.26
2022;7;ESTAT. HORISTAS/NOVOS 8336/07;7089762.84;927;736;9.34
2022;7;ESTATUTARIO/HORISTAS         E;6875127.35;606;480;9.05
2022;7;COMIS.ESTAT/MENSAL NOVOS (INC);5036152.51;586;476;6.63
2022;7;PROF/HORISTAS/ESTATUTARIOS   E;4797796.87;428;423;6.32
2022;7;MED.PLANT.ESTAT -LEI 8336/2007;2190345.4;134;104;2.88
2022;7;PROF/EVENT/SUBST/AUTONOMOS   A;1531486.21;1436;1424;2.02
2022;7;MEDICOS PLANTONISTAS/ESTATUT.;1346340.32;65;50;1.77
2022;7;ACUMULO DE GRATIF-ESTAT NOVOS;1137701.88;103;82;1.5
2022;7;C.L.T.                     C;1101193.85;279;249;1.45
2022;7;C.L.T./TEMP/HORISTA;1069282.59;82;78;1.41
2022;7;COMISSAO/EXTERNO             S;948456.88;85;69;1.25
2022;7;ESTAGIARIOS;888666.48;879;869;1.17
2022;7;COMIS ESTAT/MENSAL(INCORPORAN);792364.08;77;59;1.04
2022;7;C.L.T./PROF/TMP/HORISTA;650841.4299999999;127;124;0.86
2022;7;ACUMULO DE GRATTIFICACAO-ESTAT;617111.98;33;29;0.81
2022;7;APOS/PENS-CLT/COMPL.INSS     P;616252.57;179;179;0.81
2022;7;APOS/INAT-CLT/COMPL.INSS     P;545420.05;97;97;0.72
2022;7;COMIS.ESTAT/HOR(INCORP)NOVOS;491212.82;18;14;0.65
2022;7;AGENTE POLITICO              S;349028.18;20;16;0.46
2022;7;COMIS.ESTAT/HOR(INCORPORANDO);179975.97;6;5;0.24
2022;7;AGENTE HONORIFICO;167183.72;35;30;0.22
2022;7;ACUM FG-ANT.COM.EST.HR.C.ORIG;149996.46;8;6;0.2
2022;7;COMIS ESTAT MENS(CARGO ORIGEM);101542.34;7;6;0.13
2022;7;COMIS. ESTAT. INT. NOVO;58765.04;7;7;0.08
2022;7;AGENTE POLITICO RPPS NOVOS;35235.6;2;2;0.05
2022;7;PREFEITO                     S;29363.01;1;1;0.04
2022;7;COMIS ESTAT MENS(ORIGEM) NOVOS;23604.17;4;2;0.03
2022;7;VICE PREFEITO                S;17617.8;1;1;0.02
2022;8;ESTATUTARIOS MEN/ LEI 8336/07;14880760.26;3520;3338;20.35
2022;8;PROF/HOR/ESTAT - LEI 8336/2007;14237173.48;1961;1948;19.47
2022;8;ESTATUTARIO                  E;7699520.46;947;892;10.53
2022;8;ESTAT. HORISTAS/NOVOS 8336/07;6306637.6;811;731;8.62
2022;8;ESTATUTARIO/HORISTAS         E;6271433.99;525;476;8.58
2022;8;COMIS.ESTAT/MENSAL NOVOS (INC);4763705.1;548;476;6.51
2022;8;PROF/HORISTAS/ESTATUTARIOS   E;4721119.38;420;413;6.46
2022;8;MED.PLANT.ESTAT -LEI 8336/2007;2099044.15;113;104;2.87
2022;8;MEDICOS PLANTONISTAS/ESTATUT.;1508457.65;60;49;2.06
2022;8;ACUMULO DE GRATIF-ESTAT NOVOS;1354393.16;98;84;1.85
2022;8;C.L.T./TEMP/HORISTA;1080984.84;77;77;1.48
