tipo,local_canonico,sigla_secretaria,secretaria,efetivo,folha_total,folha_media,ticket_medio
Setor,D. Manutencao E. Paisag,SERPO,Secretaria de Serviços Públicos e Obras,13,114317.74,8793.67,8793.67
Setor,D. Geopr E. Geotec Aplic.,SEPLAN,Secretaria de Planejamento e Desenvolvimento Urbano,13,174360.66,13412.36,13412.36
Setor,Sequav - D. Esp Alto Rend Soc,,,13,149642.49,11510.96,11510.96
Setor,Defesa Civil,SEMOB,Secretaria de Mobilidade,13,168611.08,12970.08,12970.08
Setor,D. Adm Financeira,SEFAZ,Secretaria da Fazenda,13,163030.92,12540.84,12540.84
Setor,Sehab - D. Regul Fund Cad,,,13,131636.87,10125.91,10125.91
Setor,D. Limpeza Urbana,SEMA,"Secretaria do Meio Ambiente, Parques e Jardins",12,187325.92,15610.49,15610.49
Setor,Semul - Gabinete,,,12,232672.77,19389.4,19389.4
Setor,D. Exec Orcamentaria,SEFAZ,Secretaria da Fazenda,12,125197.91,10433.16,10433.16
Setor,Sequav - Gabinete,,,12,198415.64,16534.64,16534.64
Setor,D. Casas do Cidadao Zel,SEFAZ,Secretaria da Fazenda,12,111123.66,9260.31,9260.31
Setor,D. Parcel E. Uso do Solo,SEPLAN,Secretaria de Planejamento e Desenvolvimento Urbano,12,129163.91,10763.66,10763.66
Setor,D. Patrim Cult Hist,SECULT,Secretaria de Cultura,11,84735.9,7703.26,7703.26
Setor,Cpe - Gabinete do Poder Executivo,,,11,185483.33,16862.12,16862.12
Setor,Sehab - Gabinete,,,11,174217.66,15837.97,15837.97
Setor,Proc Administrativa,SEJ,Secretaria de Assuntos Jurídicos e Patrimônio,11,327242.25,29749.3,29749.3
Setor,SAMU — Administrativo,SES,Secretaria da Saúde,10,50286.91,5028.69,5028.69
Setor,Sead - D. de Compras Diretas,,,10,94246.64,9424.66,9424.66
Setor,Separ - D. de Proj de Arq E. Eng,,,10,118954.13,11895.41,11895.41
Setor,D. Alim Escolar,SEDUC,Secretaria da Educação,9,150108.16,16678.68,16678.68
Setor,Sead - D. Servicos Compartilhados,,,9,87554.26,9728.25,9728.25
Setor,D. Contabilidade,SEFAZ,Secretaria da Fazenda,9,91672.02,10185.78,10185.78
Setor,Serh - D. Plan Contr Sedu,,,9,87506.13,9722.9,9722.9
Setor,Sead - D. Apoio Adm E. Operacional,,,8,72379.69,9047.46,9047.46
Setor,Serh - Gabinete,,,8,120419.33,15052.42,15052.42
Setor,D. Admin E. Orcamento,SEMA,"Secretaria do Meio Ambiente, Parques e Jardins",8,86165.25,10770.66,10770.66
Setor,Sintea - D. Incl E. Ass A Pessoa Com Tea,,,8,72787.55,9098.44,9098.44
Setor,D. Fiscal Obras Publicas,SERPO,Secretaria de Serviços Públicos e Obras,8,101231.71,12653.96,12653.96
Setor,Separ - D. Cap Conv E. Financ,,,8,90956.68,11369.58,11369.58
Setor,D. Gestao Ambiental,SEMA,"Secretaria do Meio Ambiente, Parques e Jardins",8,75810.21,9476.28,9476.28
Setor,Separ - D. de Conc. E. Parcerias,,,8,98800.18,12350.02,12350.02
Setor,Sead - Gabinete,,,8,190396.11,23799.51,23799.51
Setor,Proc Ctle Externo,SEJ,Secretaria de Assuntos Jurídicos e Patrimônio,8,79144.99,9893.12,9893.12
Setor,Sehab - D. Plan Vazios Urb Equip Sociais,,,7,69269.76,9895.68,9895.68
Setor,Sert - Gabinete,,,7,125810.25,17972.89,17972.89
Setor,D. Educ Amb E. Interacao Social,SEMA,"Secretaria do Meio Ambiente, Parques e Jardins",7,95612.75,13658.96,13658.96
Setor,Proc Geral,SEJ,Secretaria de Assuntos Jurídicos e Patrimônio,7,328634.87,46947.84,46947.84
Setor,Setur - D. Fomento Ao Turismo,,,7,73226.4,10460.91,10460.91
Setor,Sede - Gabinete,,,7,142181.5,20311.64,20311.64
