ano;mes;regime_grupo;regime_subgrupo;folha_total;num_registros;num_matriculas;percentual
2025;1;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;7426327.51;601;534;7.08
2025;1;Temporarios, estagiarios e eventuais;flexiveis;3141972.89;2611;2588;2.99
2025;1;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1961355.51;136;135;1.87
2025;1;Inativos e pensionistas;inativos;1075154.34;225;225;1.02
2025;2;Efetivos e empregados publicos (carreira);efetivos;84482586.2;9756;9103;86.74
2025;2;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;8240556.15;624;538;8.46
2025;2;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;2437800.97;172;172;2.5
2025;2;Inativos e pensionistas;inativos;1121971.7;227;227;1.15
2025;2;Temporarios, estagiarios e eventuais;flexiveis;1111124.8;1060;1030;1.14
2025;3;Efetivos e empregados publicos (carreira);efetivos;104417473.85;18772;9252;85.3
2025;3;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;9221470.96;1169;552;7.53
2025;3;Temporarios, estagiarios e eventuais;flexiveis;4650725.38;3247;3217;3.8
2025;3;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;2927687.4000000004;314;176;2.39
2025;3;Inativos e pensionistas;inativos;1196757.42;419;223;0.98
2025;4;Efetivos e empregados publicos (carreira);efetivos;89510033.21;10053;9210;83.63
2025;4;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;8834549.86;650;559;8.25
2025;4;Temporarios, estagiarios e eventuais;flexiveis;4727095.74;2923;2882;4.42
2025;4;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;2852026.07;187;174;2.66
2025;4;Inativos e pensionistas;inativos;1103402.18;223;223;1.03
2025;5;Efetivos e empregados publicos (carreira);efetivos;90017395.12;10236;9341;83.33
2025;5;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;8868592.01;696;557;8.21
2025;5;Temporarios, estagiarios e eventuais;flexiveis;5216809.72;3042;2962;4.83
2025;5;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;2824061.96;188;174;2.61
2025;5;Inativos e pensionistas;inativos;1100378.67;217;217;1.02
2025;6;Efetivos e empregados publicos (carreira);efetivos;93664028.06;10063;9322;83.25
2025;6;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;9125136.53;643;560;8.11
2025;6;Temporarios, estagiarios e eventuais;flexiveis;5709673.12;3175;3102;5.07
2025;6;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;2908912.37;177;173;2.59
2025;6;Inativos e pensionistas;inativos;1106489.67;214;214;0.98
2025;7;Efetivos e empregados publicos (carreira);efetivos;93308814.0;10570;9349;82.92
2025;7;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;9625690.68;721;562;8.55
2025;7;Temporarios, estagiarios e eventuais;flexiveis;5548903.17;3133;3105;4.93
2025;7;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;2930484.77;184;175;2.6
2025;7;Inativos e pensionistas;inativos;1108889.7;214;214;0.99
2025;8;Efetivos e empregados publicos (carreira);efetivos;93401788.26;10052;9354;84.55
2025;8;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;9267680.95;643;560;8.39
2025;8;Temporarios, estagiarios e eventuais;flexiveis;3869336.4;2795;2763;3.5
2025;8;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;2822436.43;179;173;2.56
2025;8;Inativos e pensionistas;inativos;1102157.2;212;212;1.0
2025;9;Efetivos e empregados publicos (carreira);efetivos;92666824.66;10364;9344;82.94
2025;9;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;9015270.05;646;559;8.07
2025;9;Temporarios, estagiarios e eventuais;flexiveis;6045972.7;3312;3273;5.41
2025;9;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;2911899.4;179;174;2.61
2025;9;Inativos e pensionistas;inativos;1094068.51;190;190;0.98
2025;10;Efetivos e empregados publicos (carreira);efetivos;90625038.63;10019;9309;82.18
2025;10;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;8874144.54;631;558;8.05
2025;10;Temporarios, estagiarios e eventuais;flexiveis;6688658.75;3444;3423;6.07
2025;10;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;3003705.62;181;176;2.72
2025;10;Inativos e pensionistas;inativos;1088006.94;188;188;0.99
2025;11;Efetivos e empregados publicos (carreira);efetivos;122469667.84;10072;9271;83.11
2025;11;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;12370694.61;643;564;8.4
2025;11;Temporarios, estagiarios e eventuais;flexiveis;6667514.76;3393;3347;4.52
2025;11;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;4232671.24;191;175;2.87
2025;11;Inativos e pensionistas;inativos;1614531.69;189;189;1.1
2025;12;Efetivos e empregados publicos (carreira);efetivos;165334593.45;19194;9257;84.52
2025;12;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;16348302.5;1227;564;8.36
2025;12;Temporarios, estagiarios e eventuais;flexiveis;6571871.9;3476;3294;3.36
2025;12;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;5187789.88;353;171;2.65
2025;12;Inativos e pensionistas;inativos;2176084.2600000002;376;188;1.11
2026;1;Efetivos e empregados publicos (carreira);efetivos;102124675.23;14047;9167;85.39
2026;1;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;9020714.8;666;564;7.54
2026;1;Temporarios, estagiarios e eventuais;flexiveis;4153904.73;2854;2836;3.47
2026;1;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;3204051.46;188;173;2.68
2026;1;Inativos e pensionistas;inativos;1098289.23;188;188;0.92
2026;2;Efetivos e empregados publicos (carreira);efetivos;88678656.13;9898;9147;85.59
2026;2;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;9387958.16;668;564;9.06
2026;2;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;3236545.2800000003;198;183;3.12
2026;2;Temporarios, estagiarios e eventuais;flexiveis;1217749.71;899;819;1.18
2026;2;Inativos e pensionistas;inativos;1086874.99;187;187;1.05
2026;3;Efetivos e empregados publicos (carreira);efetivos;111408031.77;10126;9330;85.47
2026;3;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;9932620.92;641;556;7.62
2026;3;Temporarios, estagiarios e eventuais;flexiveis;4771985.94;3358;3337;3.66
2026;3;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;3013807.07;179;159;2.31
2026;3;Inativos e pensionistas;inativos;1214794.5;186;186;0.93
2026;4;Efetivos e empregados publicos (carreira);efetivos;98468486.06;10315;9436;83.49
2026;4;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;8915797.78;607;525;7.56
2026;4;Temporarios, estagiarios e eventuais;flexiveis;6213484.65;3349;3313;5.27
2026;4;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;3226745.5500000003;219;202;2.74
2026;4;Inativos e pensionistas;inativos;1114212.4;184;184;0.94
2026;5;Efetivos e empregados publicos (carreira);efetivos;99890777.22;10483;9531;83.19
