secretaria;escolaridade_canonica;num_registros;num_matriculas;folha_total;folha_media;folha_mediana
Secretaria de Relações do Trabalho e Qualificação Profissional;Superior completo;881;46;9268886.5;10520.870034052214;8575.85
Secretaria de Relações do Trabalho e Qualificação Profissional;Pos-graduacao;53;3;446265.55;8420.104716981132;4547.74
Secretaria de Segurança Urbana;Fundamental incompleto;533;12;2741979.81;5144.427410881801;5012.15
Secretaria de Segurança Urbana;Fundamental completo;757;17;6641436.89;8773.364451783355;8430.56
Secretaria de Segurança Urbana;Medio incompleto;462;10;4533182.09;9812.082445887445;8944.154999999999
Secretaria de Segurança Urbana;Medio completo;15541;505;144013266.03;9266.666625699761;8289.53
Secretaria de Segurança Urbana;Superior incompleto;1770;84;9383980.459999999;5301.683875706214;2666.1549999999997
Secretaria de Segurança Urbana;Superior completo;8371;166;98382090.4;11752.728515111696;10480.41
Secretaria de Segurança Urbana;Pos-graduacao;539;11;9375295.56;17393.8693135436;15644.25
Secretaria de Segurança Urbana;Mestrado;33;1;459565.73;13926.234242424242;15003.84
Secretaria de Serviços Públicos e Obras;Sem escolaridade formal registrada;104;3;509725.96;4901.211153846154;4924.75
Secretaria de Serviços Públicos e Obras;Fundamental incompleto;584;11;3675419.78;6293.527020547945;6419.75
Secretaria de Serviços Públicos e Obras;Fundamental completo;785;23;3563494.45;4539.483375796179;4166.84
Secretaria de Serviços Públicos e Obras;Medio incompleto;79;1;267256.97;3382.9996202531643;3611.38
Secretaria de Serviços Públicos e Obras;Medio completo;2698;62;11260285.7;4173.56771682728;4056.77
Secretaria de Serviços Públicos e Obras;Superior incompleto;511;22;2661910.75;5209.218688845401;3963.96
Secretaria de Serviços Públicos e Obras;Superior completo;4613;142;47730572.96;10346.970075872534;9417.85
Secretaria de Serviços Públicos e Obras;Pos-graduacao;457;10;5787997.8;12665.20306345733;10699.17
Secretaria de Serviços Públicos e Obras;Mestrado;100;3;1180903.95;11809.039499999999;11080.645
Secretaria de Turismo;Medio completo;33;2;148995.2;4515.006060606061;4725.06
Secretaria de Turismo;Superior incompleto;39;7;39391.92;1010.0492307692307;1084.8
Secretaria de Turismo;Superior completo;177;18;2367904.17;13377.989661016949;14384.28
Secretaria de Turismo;Pos-graduacao;45;3;549679.0;12215.08888888889;12857.83
Secretaria de Urbanismo e Licenciamento;Fundamental completo;30;3;110940.25;3698.008333333333;3756.91
Secretaria de Urbanismo e Licenciamento;Medio completo;487;40;2465567.23;5062.766386036961;4028.56
Secretaria de Urbanismo e Licenciamento;Superior incompleto;370;55;500391.73;1352.410081081081;1084.8
Secretaria de Urbanismo e Licenciamento;Superior completo;1400;117;10372395.47;7408.853907142858;6769.805
Secretaria de Urbanismo e Licenciamento;Pos-graduacao;158;11;1975733.77;12504.64411392405;10063.1
Secretaria de Urbanismo e Licenciamento;Mestrado;15;1;145945.63;9729.708666666667;10613.13
Secretaria de Urbanismo e Licenciamento;Doutorado;3;1;49067.89;16355.963333333333;16833.55
Secretaria do Meio Ambiente, Parques e Jardins;Sem escolaridade formal registrada;122;3;685031.04;5615.008524590165;5241.29
Secretaria do Meio Ambiente, Parques e Jardins;Fundamental incompleto;138;2;763943.79;5535.824565217392;5368.025
Secretaria do Meio Ambiente, Parques e Jardins;Fundamental completo;282;6;1424403.14;5051.074964539007;5134.155
Secretaria do Meio Ambiente, Parques e Jardins;Medio incompleto;25;1;188335.02;7533.400799999999;6828.08
Secretaria do Meio Ambiente, Parques e Jardins;Medio completo;801;37;4268176.81;5328.560312109862;4562.97
Secretaria do Meio Ambiente, Parques e Jardins;Superior incompleto;1339;115;2384592.84;1780.875907393577;1084.8
Secretaria do Meio Ambiente, Parques e Jardins;Superior completo;4328;156;43891101.32;10141.197162661738;9100.5
Secretaria do Meio Ambiente, Parques e Jardins;Pos-graduacao;381;11;3306524.24;8678.54131233596;8377.61
Secretaria do Meio Ambiente, Parques e Jardins;Mestrado;226;4;1962245.74;8682.503274336283;8508.645
Secretaria do Meio Ambiente, Parques e Jardins;Doutorado;146;2;1904545.53;13044.832397260274;12052.01
