ano;mes;secretaria;efetivo
2022;9;Secretaria de Mobilidade;14
2022;9;Secretaria de Relações Institucionais e Metropolitanas;13
2022;10;Secretaria da Educação;7176
2022;10;Secretaria da Saúde;2326
2022;10;Secretaria de Segurança Urbana;369
2022;10;Inativos e Pensionistas (Encargos);270
2022;10;Secretaria de Administração;265
2022;10;Secretaria da Cidadania;206
2022;10;Secretaria da Fazenda;203
2022;10;Secretaria de Urbanismo e Licenciamento;185
2022;10;Secretaria de Serviços Públicos e Obras;151
2022;10;Secretaria de Assuntos Jurídicos e Patrimônio;141
2022;10;Secretaria de Recursos Humanos;102
2022;10;Secretaria de Governo;89
2022;10;Secretaria do Meio Ambiente, Parques e Jardins;86
2022;10;Secretaria de Esportes e Lazer;82
2022;10;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;69
2022;10;Secretaria de Cultura;68
2022;10;Secretaria de Gabinete Central;65
2022;10;Secretaria da Habitação e Regularização Fundiária;39
2022;10;Secretaria de Comunicação;26
2022;10;Secretaria de Mobilidade;15
2022;10;Secretaria de Relações Institucionais e Metropolitanas;12
2022;11;Secretaria da Educação;7134
2022;11;Secretaria da Saúde;2323
2022;11;Secretaria de Segurança Urbana;369
2022;11;Inativos e Pensionistas (Encargos);267
2022;11;Secretaria de Administração;267
2022;11;Secretaria da Cidadania;203
2022;11;Secretaria da Fazenda;202
2022;11;Secretaria de Urbanismo e Licenciamento;187
2022;11;Secretaria de Serviços Públicos e Obras;151
2022;11;Secretaria de Assuntos Jurídicos e Patrimônio;140
2022;11;Secretaria de Recursos Humanos;99
2022;11;Secretaria de Governo;90
2022;11;Secretaria do Meio Ambiente, Parques e Jardins;85
2022;11;Secretaria de Esportes e Lazer;82
2022;11;Secretaria de Cultura;70
2022;11;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;69
2022;11;Secretaria de Gabinete Central;69
2022;11;Secretaria da Habitação e Regularização Fundiária;39
2022;11;Secretaria de Comunicação;25
2022;11;Secretaria de Mobilidade;15
2022;11;Secretaria de Relações Institucionais e Metropolitanas;12
2022;12;Secretaria da Educação;6975
2022;12;Secretaria da Saúde;2318
2022;12;Secretaria de Segurança Urbana;366
2022;12;Inativos e Pensionistas (Encargos);266
2022;12;Secretaria de Administração;266
2022;12;Secretaria da Cidadania;202
2022;12;Secretaria da Fazenda;200
2022;12;Secretaria de Urbanismo e Licenciamento;187
2022;12;Secretaria de Serviços Públicos e Obras;149
2022;12;Secretaria de Assuntos Jurídicos e Patrimônio;139
2022;12;Secretaria de Recursos Humanos;98
2022;12;Secretaria de Governo;92
2022;12;Secretaria de Esportes e Lazer;80
2022;12;Secretaria do Meio Ambiente, Parques e Jardins;78
2022;12;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;69
2022;12;Secretaria de Cultura;68
2022;12;Secretaria de Gabinete Central;68
2022;12;Secretaria da Habitação e Regularização Fundiária;39
2022;12;Secretaria de Comunicação;25
2022;12;Secretaria de Mobilidade;15
2022;12;Secretaria de Relações Institucionais e Metropolitanas;12
2023;1;Secretaria da Educação;6303
2023;1;Secretaria da Saúde;2305
2023;1;Secretaria de Segurança Urbana;367
2023;1;Secretaria de Administração;267
2023;1;Secretaria da Cidadania;202
2023;1;Secretaria da Fazenda;201
2023;1;Secretaria de Planejamento e Desenvolvimento Urbano;185
2023;1;Chefia do Poder Executivo;172
2023;1;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;161
2023;1;Secretaria de Serviços Públicos e Obras;149
2023;1;Secretaria de Assuntos Jurídicos e Patrimônio;119
2023;1;Secretaria de Governo;108
2023;1;Secretaria de Recursos Humanos;100
2023;1;Secretaria do Meio Ambiente, Parques e Jardins;79
2023;1;Secretaria de Esportes e Lazer;78
2023;1;Secretaria de Gabinete Central;69
2023;1;Secretaria de Cultura;68
