ano;mes;secretaria;folha_total;folha_liquida;num_registros;num_matriculas;ticket_medio
2026;4;Secretaria de Recursos Humanos;1294090.72;915868.13;155;130;9954.54
2026;4;Secretaria de Esportes e Lazer;1116742.98;793456.8;100;90;12408.26
2026;4;Inativos e Pensionistas (Encargos);1114212.4;569620.2;184;184;6055.5
2026;4;Secretaria de Parcerias;565153.61;410546.39;64;54;10465.81
2026;4;Secretaria de Mobilidade;559403.86;375396.7;64;58;9644.89
2026;4;Secretaria de Cultura;530666.24;387458.12;78;68;7803.92
2026;4;Secretaria da Habitação e Regularização Fundiária;450865.06;331243.43;41;37;12185.54
2026;4;Secretaria de Relações do Trabalho e Qualificação Profissional;398197.15;266798.82;53;49;8126.47
2026;4;Secretaria de Comunicação;368791.55;273115.43;38;33;11175.5
2026;4;Secretaria de Empreendedorismo da Micro e Pequena Empresa;286149.22000000003;193052.27;30;27;10598.12
2026;4;Secretaria da Mulher;240151.39;167541.78999999998;13;13;18473.18
2026;4;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;178980.69;142633.68;21;17;10528.28
2026;4;Secretaria de Relações Institucionais e Metropolitanas;168665.37;111664.01000000001;13;12;14055.45
2026;4;Secretaria de Turismo;164936.58000000002;124339.27;16;14;11781.18
2026;4;Chefia do Poder Executivo;155126.92;106126.62000000001;9;9;17236.32
2026;4;Secretaria de Inclusão e Transtorno do Espectro Autista;117197.06;87185.88;11;10;11719.71
2026;5;Secretaria da Educação;55769419.54;35959432.08;8430;8039;6937.36
2026;5;Secretaria da Saúde;33727022.71;22271462.58;3252;2805;12023.89
2026;5;Secretaria de Segurança Urbana;5461095.72;3647723.48;516;483;11306.62
2026;5;Secretaria da Cidadania;2854903.29;1961159.59;311;284;10052.48
2026;5;Secretaria de Assuntos Jurídicos e Patrimônio;2674175.85;1823467.98;136;124;21565.93
2026;5;Secretaria da Fazenda;2509524.99;1729481.4;193;164;15301.98
2026;5;Secretaria de Planejamento e Desenvolvimento Urbano;1773237.18;1183400.57;203;180;9851.32
2026;5;Secretaria de Gabinete Central;1626652.19;1098597.25;163;147;11065.66
2026;5;Secretaria de Serviços Públicos e Obras;1560630.59;1104824.06;156;143;10913.5
2026;5;Secretaria de Governo;1527122.5;1053851.65;138;122;12517.4
2026;5;Secretaria de Administração;1517721.75;1062900.73;168;148;10254.88
2026;5;Secretaria de Recursos Humanos;1367719.56;959951.96;155;131;10440.61
2026;5;Secretaria do Meio Ambiente, Parques e Jardins;1260211.91;866633.65;145;125;10081.7
2026;5;Inativos e Pensionistas (Encargos);1125434.68;578590.12;184;184;6116.49
2026;5;Secretaria de Esportes e Lazer;963439.09;631984.41;92;88;10948.17
2026;5;Secretaria de Parcerias;545154.92;378889.27999999997;62;58;9399.22
2026;5;Secretaria de Mobilidade;532711.79;343912.66;67;59;9029.01
